Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter
12993,demesmaekerite,Noun,"A triclinic-pinacoidal mineral containing copper, hydrogen, lead, oxygen, selenium, and uranium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
14100,dendrachate,Noun,An arborescent or dendritic agate., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
14387,denisovite,Noun,"A monoclinic mineral containing calcium, fluorine, hydrogen, oxygen, potassium, silicon, and sodium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
14453,denningite,Noun,"A tetragonal-ditetragonal dipyramidal mineral containing manganese, oxygen, tellurium, and zinc.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
16786,derbylite,Noun,"A monoclinic-prismatic mineral containing antimony, hydrogen, iron, oxygen, and titanium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
17457,derriksite,Noun,"An orthorhombic-pyramidal mineral containing copper, hydrogen, oxygen, selenium, and uranium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
17478,dervillite,Noun,"A monoclinic-prismatic brownish black mineral containing arsenic, silver, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
17576,desautelsite,Noun,"A trigonal bright orange mineral containing carbon, hydrogen, magnesium, manganese, and oxygen.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
17698,descloizite,Noun,"A rare orthorhombic mineral consisting of basic lead and zinc vanadate, isomorphous with olivenite.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
18545,desmine,Noun,The mineral stilbite., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
19001,despujolsite,Noun,"A hexagonal-ditrigonal dipyramidal lemon mineral containing calcium, hydrogen, manganese, oxygen, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
19023,dessauite,Noun,"A trigonal-rhombohedral black mineral containing iron, lead, oxygen, strontium, titanium, uranium, and yttrium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
