Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar
21826,intonate,Verb,"To intone or recite (words), especially emphatically or in a chanting manner"," transitive, intransitive, dated","1840, Thomas De Quincey, Theory of Greek Tragedy in Blackwoods Edinburgh Magazine, Volume 47, No. 292, February 1840, p.153,[2] [] we have no doubt whatever that the recitation of verse on the stage was of an artificial and semi-musical character. It was undoubtedly much more sustained and intonated with a slow and measured stateliness, which, whilst harmonizing it with the other circumstances of solemnity in Greek tragedy, would bring it nearer to music. 1911, Charles Clinton Nourse, Autobiography, Cedar Rapids, Iowa: for the author, Chapter2,[3] His manner on the platform and his speech were those of a drony, sing-song, intonating Episcopal minister, devoid of life and spirit. 1985, David H. Rothman, The Silicon Jungle, New York: Ballantine, Chapter 10, p.171,[4] With actorlike polish he intonated through the third page []",False,False,False,False
21827,intonate,Verb,To say or speak with a certain intonation," transitive, dated","1845, Sheridan Le Fanu, The Cock and the Anchor, Dublin: William Curry, Jun., Volume 1, Chapter 6, p.74,[5] Is this Mr. OConnors chamber? inquired a voice of peculiar richness, intonated not unpleasingly with a certain melodious modification of the brogue [] 1858, Nathaniel Hawthorne, Passages from the French and Italian Note-Books of Nathaniel Hawthorne, London: Strahan, 1871, Volume 1, Rome, p.274,[6] Miss Bremer talked plentifully in her strange mannergood English enough for a foreigner, but so oddly intonated and accented, that it is impossible to be sure of more than one word in ten. 1882, Road Scrapings: Coaches and Coaching, London: Tinsley Brothers, Chapter 6, p.92,[7] [] an older man, attired in gray, with hair to match, was busily engaged at one end of the room packing a quantity of small cases into a larger one, and continuing to hold converse with himself by means of the monosyllable yes, differently intonated, at intervals of half-a-minute, y-e-sy-e-s. 1920, Paul Klapper, Teaching Children to Read, New York: Appleton, Chapter 8, p.118,[8] [] another child of foreign parentage intonates his English with the cadence peculiar to the language of his parents.",False,False,False,False
21828,intonate,Verb,"To intone or vocalize (musical notes); to sound the tones of the musical scale; to practise the sol-fa.[1] 1776, John Hawkins, A General History of the Science and Practice of Music, Volume 2, Book 4, Chapter 3 p.431,[9] The composer so ordered it, that the kings part should be one holding note, in a pitch proper for a Contratenor, for that was the kings voice"," transitive, dated","Nor was he inattentive to other particulars, for he contrived his own part, which was the Bass, in such a manner, that every other note he sung was an octave to that of the king, which prevented his majesty from deviating from that single note which he was to intonate. 1844, The order for morning and evening prayer, and the Litany: with plain-tune, according to the use of the United Church of England and Ireland, London: J. Burns,Editors Preface,[10] A comma or colon was intonated by the fall of a minor third from the key-note on the ultimate or penultimate and ultimate syllables of the clause []",False,False,False,False
23095,intrigante,Noun,A female intriguer, dated,"1862, The Living Age (volume 72, page 188) It is curious to find her on one occasion surreptitiously opening a letter of her husband's to one Sarah Ryan, a housekeeper, an intrigante []",False,False,False,False
23118,intriguing,Noun,An intrigue, dated,"Thomas Longueville, The Curious Case of Lady Purbeck In all these negotiations, and caballings, and intriguings, the person most concerned, Frances Coke, the beauty and the heiress, was only the ball in the game.",False,False,False,False
23603,invalid chair,Noun,An early wheelchair., dated,,False,False,False,False
23869,inverse video,Noun,"A display technique whereby background and foreground colours are interchanged, typically used for highlighting"," computing, dated","1982, Byte magazine When I type ""/F"", I get a menu of possible file actions, the first of which is in inverse video. 1984, Interface age magazine Text to be deleted is shown in inverse video. 1989, PC: The Independent Guide to IBM Personal Computers If any of the video buffer's background attribute bits are on, MONO converts the attribute to 70h (inverse video).",False,False,False,False
23995,invest,Verb,To clothe or wrap (with garments)," transitive, dated","1851, Herman Melville, Moby-Dick: He was but shabbily apparelled in faded jacket and patched trowsers; a rag of a black handkerchief investing his neck.",False,False,False,False
25531,ironmaster,Noun,The proprietor of an ironworks, dated,,False,False,False,False
25542,ironmongery,Noun,Tools and other hardware that can be bought in an ironmonger's shop.," dated, Britain, uncountable",,False,False,False,False
