Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body
20042,international relations,Noun,"The study of relationships among countries, commonly abbreviated as IR.",True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
20887,intersectionalism,Noun,"The study of minorities within minorities, or intersections between minorities; specifically, the study of the interactions of multiple systems of oppression or discrimination.",True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
20895,intersectionality,Noun,"The study of (or a sociological methodology of studying) overlapping or intersecting social identities and related systems of oppression, domination, or discrimination",True,"1989, Kimberl [Williams] Crenshaw, Demarginalizing the Intersection of Race and Sex: A Black Feminist Critique of Antidiscrimination Doctrine, Feminist Theory and Antiracist Politics, in The University of Chicago Legal Forum[1], volume 139, archived from the original on 6 May 2016, page 141:One way to approach the problem of intersectionality is to examine how courts frame and interpret the stories of Black women plaintiffs. 2012, Kalwant Bhopal; John Preston, Introduction: Intersectionality and Race in Education: Theorising Difference, in Kalwant Bhopal and John Preston, editors, Intersectionality and Race in Education, New York, N.Y.; Abingdon, Oxon.: Routledge, ISBN, page 1:This book is about intersectionality and is particularly concerned with examining theorising intersectionalities and difference. In recent years, the concept of intersectionality has taken centre stage and has become a dominant model with which to engage in how differences such as race, gender, class, sexuality, age, disability and religion interweave and intersect upon individual lives in a modern risk society[]. 2016, Patricia Hill Collins; Sirma Bilge, What is Intersectionality?, in Intersectionality (Key Concepts), Cambridge; Malden, Mass.: Polity Press, ISBN:Intersectionality is a way of understanding and analyzing the complexity in the world, in people, and in human experiences. The events and conditions of social and political life and the self can seldom be understood as shaped by one factor. They are generally shaped by many factors in diverse and mutually influencing ways. [] Intersectionality as an analytic tool gives people better access to the complexity of the world and of themselves.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
22129,intracrinology,Noun,The study of intracrine hormones and their related disorders,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
23660,invariant theory,Noun,The branch of algebra concerned with actions of groups on algebraic varieties from the point of view of their effect on functions,True,"1993, Bernd Sturmfels, Introduction, David Hilbert, Reinhard C. Laubenbacher (translator and editor), Bernd Sturmfels (editor), Theory of Algebraic Invariants, Cambridge University Press, page xi, Today, invariant theory is often understood as a branch of representation theory, algebraic geometry, commutative algebra, and algebraic combinatorics. Each of these four disciplines has roots in nineteenth-century invariant theory. [] In modern terms, the basic problem of invariant theory can be categorized as follows. Let V {\displaystyle V} be a K {\displaystyle K} -vector space on which a group G {\displaystyle G} acts linearly. In the ring of polynomial functions K [ V ] {\displaystyle K[V]} consider the subring K [ V ] G {\displaystyle K[V]^{G}} consisting of all polynomial functions on V {\displaystyle V} which are invariant under the action of the group G {\displaystyle G} . The basic problem is to describe the invariant ring K [ V ] G {\displaystyle K[V]^{G}} . In particular, we would like to know whether K [ V ] G {\displaystyle K[V]^{G}} is finitely generated as a K {\displaystyle K} -algebra and, if so, to give an algorithm for computing generators. 2001, Gian-Carlo Rota, What is invariant theory, really?, H. Crapo, D. Senato (editors), Algebraic Combinatorics and Computer Science: A Tribute to Gian-Carlo Rota, Springer, page 41, Invariant theory is the great romantic story of mathematics. [] In our century, Lie theory and algebraic geometry, differential algebra and algebraic combinatorics are all offsprings of invariant theory. 2009, Roe Goodman, Nolan R. Wallach, Symmetry, Representations, and Invariants, Springer, page 225, For a linear algebraic group G {\displaystyle G} and a regular representation ( , V ) {\displaystyle (\rho ,V)} of G {\displaystyle G} , the basic problem of invariant theory is to describe the G {\displaystyle G} -invariant elements ( k V ) G {\displaystyle ({\bigotimes }^{k}V)^{G}} of the k {\displaystyle k} -fold tensor product for all k {\displaystyle k} .",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
23898,inversive geometry,Noun,"The branch of geometry concerned with inversion transformations, specifically circle inversions in the Euclidean plane, but also as generalised in non-Euclidean and higher-dimensional spaces",True,"1983, John Willard Milnor, On the Geometry of the Kepler Problem, The American Mathematical Monthly, Volume 90, reprinted in 1994, John Milnor, Collected Papers, I: Geometry, page 261, In particular, the non-Euclidean geometry of Lobachevsky and Bolyai, and the inversive geometry of Steiner play an important role. 1999, David A. Brannan, Matthew F. Esplen, Jeremy J. Gray, Geometry, page 2, The study of properties of such families of circles gave rise to a new geometry, called inversive geometry, which was able to provide particularly striking proofs of previously known results in Euclidean geometry as well as new results. 2007, Elena Anne Marchisotto, James T. Smith, The Legacy of Mario Pieri in Geometry and Arithmetic, page 143, Even after that, despite the need identified by Klein, Kasner, and J. W. Young, foundations of inversive geometry did not receive much research attention. David Hilbert's school at Gttingen spawned an axiomatization of inversive geometry by B. L. van der Waerden and Lucas J. Smid in 1935.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
24818,ionics,Noun,The study of ionic conductors.,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
24866,ionomics,Noun,The study of ionomes,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
26823,isoenzymology,Noun,The study of isoenzymes,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
27374,isoperimetry,Noun,The study of isoperimetric structures.,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False
