Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units
2394,calibre,Noun,Unit of measure used to express the length of the bore of a weapon,,"The number of calibres is determined by dividing the length of the bore of the weapon, from the breech face of the tube to the muzzle, by the diameter of its bore. A gun tube the bore of which is 40 feet (480 inches) long and 12 inches in diameter is said to be 40 calibers long.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
16370,centipoise,Noun,A cgs unit of measure of absolute viscosity,,"(The viscosity of water is one centipoise. The lower the number, the less viscous the material.) Symbol: cP.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
20421,characters per inch,Noun,A unit of measurement of the number of typographic characters that fit on a one inch line of printed type," design, typography","This unit is mainly used to specify font sizes that have the same width for each character (monospaced), however it may also be used to give an average for fonts with characters of varying widths. Please use a type that is 10 characters per inch.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
20422,characters per inch,Noun,"A unit of measurement of the number of characters per inch (""linear packing density"") when storing data on certain types of magnetic media or tape, used to measure storage density that the encoding medium possesses.", electronic media,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
22712,cheki,Noun,A unit of weight equal to 200 kg (441 lbs.)., Turkish units of measurement,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
22713,cheki,Noun,A former Turkish unit of weight equal to 180 okas., historical units of measurement,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
22714,cheki,Noun,A former Turkish unit of weight equal to 100 dirhems (variously .15.35 kg), historical units of measurement,"1819, Abraham Rees, The Cyclopaedia, Vol. XXX, s.v. ""Rottolo"": At Constantinople, the cantaro, or quintal, contains 44 okes, or 100 rottoli; and the cantaro weighs about 123 lbs. avoirdupois, the oke 2lbs. 13 oz., and the rottolo 1945 oz., and the chequee 11 oz. avoirdupois. 1888, W.M.F. Petrie, Encyclopaedia Britannica, 9th ed., Vol. XXIV, s.v. ""Weights and Measures"": Dram (495 grains), 100=chequi, 4=oka (28286 ); dram (495 grains), 180=rotl, 100=kintal or kantar (12729 ). 1900, William B. Dick, Encyclopedia of Practical Receipts and Processes, p. 530: 6107. Turkish Weights. The Turkish Chequi is 11 ounces avoirdupois... 1 Chequi = 100 Drachmas.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
53754,congius,Noun,An ancient Roman unit of volume in liquid measure consisting of six sextarii or one-eighth amphora (about 7 fluid ounces)., historical units of measure,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
53755,congius,Noun,An ancient Roman unit of weight under Vespasian equal to the weight of a congius of water., historical units of measure,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
60488,cor,Noun,"Various former units of volume, particularly: A Hebrew unit of liquid volume, about equal to 230L or 60gallons", historical units of measure,Synonym of homer: approximately the same volume as a dry measure. A roughly equivalent Phoenician unit of volume.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
60732,cord,Noun,"A unit of measurement for firewood, equal to 128 cubic feet (4 4 8 feet), composed of logs and/or split logs four feet long and none over eight inches diameter",,"It is usually seen as a stack four feet high by eight feet long. 1851, Herman Melville, Moby-Dick Unerringly impelling this dead, impregnable, uninjurable wall, and this most buoyant thing within; there swims behind it all a mass of tremendous life, only to be adequately estimated as piled wood isby the cord []",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
76631,cubit,Noun,"Various former units of length notionally based on the distance from a grown man's elbow to his fingertips, standardized in different places and times at values between 35 and 60cm", historical units of measure,"1611, The Holy Bible,[] (King James Version), imprinted at London: By Robert Barker,[], OCLC 964384981, Matthew 6:27: Which of you by taking thought can add one cubit unto his stature?",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
79519,customary unit,Noun,any unit of measurement that is currently used in the United States, US,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
