Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body,domain2,attributive_form,attributive_form_for_term,main_noun_nltk,main_noun_maria,0,1,2,3,4,5,6,7,8,9,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,10.1,11.1,12.1,13.1,10,11,12,13,14,15,16,17
9357,incorporeality,Noun,The state or characteristic of being incorporeal,,"1870, Lysander Spooner, No Treason, Number 6, page 15:The tax payer does not know, and has no means of knowing, who the particular individuals are who compose ""the government."" To him ""the government"" is a myth, an abstraction, an incorporeality, with which he can make no contract, and to which he can give no consent, and make no pledge. 2003, James Porter Moreland and William Lane Craig, Philosophical Foundations for a Christian Worldview, ISBN, p. 507: God's immateriality entails the divine attribute of incorporeality, that God is neither a body nor embodied.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,state or characteristic,,state,or,characteristic,,,,,,,,state,or,characteristic,,,,,,,,state,or,characteristic,,,,,,,,,,,,,,,,,,,,,,,
9360,incorporeity,Noun,The state or characteristic of being incorporeal,,"1842, Samuel Hibbert, Polylogy's sayings, Boone, p. 127: We must not represent God by any picture or image, even in imagination, for to do so is to deny his incorporeity and incomprehensibility.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,state or characteristic,,state,or,characteristic,,,,,,,,state,or,characteristic,,,,,,,,state,or,characteristic,,,,,,,,,,,,,,,,,,,,,,,
9396,incorruptibility,Noun,"The condition of never decaying or decomposing (especially, as ascribed to the bodies of holy people in Roman Catholic and Eastern Orthodox Christianity)",,"1618, Anonymous translator, A Manuall of Devout Meditations and Exercises by Toms de Villacastn, Book 3, Meditation 12, Point 1, p. 510, facsimile reprint in D. M. Rogers (editor), English Recusant Literature, 1558-1640, Volume 326, Menston: The Scolar Press, 1976,[4] Gather hence great joy at the Resurrection of the B. Virgin, and the incorruptibility of her body, the rare and speciall priviledge graunted unto her by her most holy Son, who fullfilled the desires of her soule. 1713, George Berkeley, Three Dialogues between Hylas and Philonous, London: Henry Clements, Dialogue 3, p. 155,[5] The Being of a God, and Incorruptibility of the Soul, those great Articles of Religion, are they not proved with the clearest and most immediate Evidence? 1867, Jacob Larwood and John Camden Hotten, The History of Signboards, London: Chatto Windus, Chapter ,[6] The PEACOCK, in ancient times, was possessed of a mystic character. The fabled incorruptibility of its flesh led to its typifying the Resurrection; and from this incorruptibility, doubtless, originated the first idea of swearing by the Peacock, an oath that was to be inviolably kept.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,condition,,condition,,,,,,,,,,condition,,,,,,,,,,condition,,,,,,,,,,,,,,,,,,,,,,,,,
9899,indebtedness,Noun,State of owing money; being in debt.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,State,,state,,,,,,,,,,state,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,
9900,indebtedness,Noun,The state of owing something or being under obligation to someone,,"2002, Colin Jones, The Great Nation, Penguin 2003, p. 120-1: Strong on administrative competence, the ministers as a group were united in their indebtedness to Fleury and in a collective mistrust of any putative successor from the court.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,state,,state,,,,,,,,,,state,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,
10196,independence,Noun,The state of having sufficient means for a comfortable livelihood.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,state,,state,,,,,,,,,,state,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,
10202,independency,Noun,An independent territory or state.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,territory or state,,territory,or,state,,,,,,,,territory,or,state,,,,,,,,territory,or,state,,,,,,,,,,,,,,,,,,,,,,,
10247,indescribability,Noun,The state or characteristic of being indescribable, uncountable,"1992, H. M. Vroom, ""Can Religious Experience Be Shared?,"" in On Sharing Religious Experience ed. by J. D. Gort et al., Eerdmans Publishing, ISBN, p. 7, This emphasis on the indescribability of God in intense religious experience is consistently found in the more mystical religious traditions.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,state or characteristic,,state,or,characteristic,,,,,,,,state,or,characteristic,,,,,,,,state,or,characteristic,,,,,,,,,,,,,,,,,,,,,,,
10303,indeterminism,Noun,Any situation in which the outcome cannot be completely predicted in advance, countable,"1937, Pitirim Aleksandrovich Sorokin, Social and Cultural Dynamics:There is a whole gradation of more or less rigid determinisms and more or less free indeterminisms, as they have been given in various theories.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,situation,,situation,,,,,,,,,,situation,,,,,,,,,,situation,,,,,,,,,,,,,,,,,,,,,,,,,
10304,indeterminism,Noun,A situation in which there are multiple valid options for next step in a process," countable, computing","2003, Robert Nieuwenhuis Andrei Voronkov, Logic for Programming, Artificial Intelligence, and Reasoning:In detail, an inference strategy has to deal with the following three kinds of indeterminisms: 1. the selection of the initial path, 2. the selection of the next branch B to be expanded, 3. the selection of the next linking step to be performed on B. 2008, Hamid Sarbazi-Azad, Behrooz Parhami, Seyed-Ghasem Miremadi, Advances in Computer Science and Engineering:These indeterminisms confuse a regular bus arbiter in deciding whether a transaction should be aborted or resumed. 2014, M.B. Zaremba, Information Control Problems in Manufacturing Technology:This parallelism brings in conflicts and directional indeterminisms which cannot be solved by the CU.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,situation,,situation,,,,,,,,,,situation,,,,,,,,,,situation,,,,,,,,,,,,,,,,,,,,,,,,,
