Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature
21052,periplus,Noun,"An account of a voyage, particularly those of Hanno and Arrian, recording ports and coastal landmarks", literature,"[1613] 1738, Pierre Bayle; John Peter Bernard; Thomas Birch; John Lockman [et al.], Hudson (Dr. John), in A General Dictionary, Historical and Critical, volume VI, London: Printed by James Bettenham, for G. Strahan, J. Clarke [et al.], OCLC 757563231, page 300, footnote B:Then follows a Periplus of the Euxine-Sea, which bears the name of Arrian, and was undoubtedly written by him in the time of Adrian, as the incription hews. 1800, William Vincent, The Periplus of the Erythrean Sea, volume I, London: Printed by Andrew Strahan, Printers Street; for Thomas Cadell, Jun. and W. Davies[], OCLC 54563433, page 3:The Peripls of the Erythran Sea is the title prefixed to a work which contains the bet account of the commerce carried on from the Red Sea and the coat of Africa to the Eat Indies, during the time that Egypt was a province of the Roman Empire. 1859, Leonhard Schmitz, Period of Historical Geography, from about B.C. 450, the Age of Herodotus, down to B.C. 276, or the Time of Eratosthenes, in A Manual of Ancient Geography [...] With a Map Showing the Retreat of the 10,000 Greeks under Xenophon, Philadelphia, Pa.: Blanchard and Lea, OCLC 780482658, page 25:Another great source of geographical information both for the ancients themselves and, so far as they still exist, for us also, are the Peripli (), that is, descriptions of the coasts of certain seas, in which the towns, ports, and promontories are enumerated, and often with their distances from one another. These peripli were drawn up for the guidance of sailors who had occasion to visit these seas for commercial and other purposes. 1974, Guy Davenport, Tatlin!, New York, N.Y.: Charles Scribners Sons, ISBN: [] the map of the world Ptolemy followed in his geography, finding the longitude that passed through the Gates of Herakles and the island of Rhodes, and placing north and south of it the world as recorded on the periploi of the Phoenician merchants. 1978, Periplus and Periegesis: Greek Maritime Writings, in George Kish, editor, A Source Book in Geography (Source Books in the History of the Sciences), Cambridge, Mass.; London: Harvard University Press, ISBN, page 24:A periplus of the Mediterranean: Greek sailing directions The following excerpt from one of the most complete periploi was attributed in the nineteenth century to the Greek merchant Scylax of Caryanda, known to have traded with settlements not only along the Red Sea but also on the shores of the Indian Ocean. 2016, Georgia Lynette Irby, Greek and Roman Cartography, in Georgia L. Irby, editor, A Companion to Science, Technology, and Medicine in Ancient Greece and Rome, volume II, Chichester, West Sussex; Hoboken, N.J.: John Wiley Sons, ISBN, page 827:Listing cities along a coast, periploi gave details about sailing conditions, harbors, what the area imported or exported, what tariffs to expect, whether the people were friendly or not, and what noteworthy landmarks and marvels (mirabilia) one might expect to see. Hanno, whose periplus of Africa (circa 480 bce) was aborted when supplies ran out, described strange peoples and animals, including Trogodytes clad in animal skins and wild men, called ""gorillas.""",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
31507,picaresque,Adjective,Characteristic of a genre of Spanish satiric novel dealing with the adventures of a roguish hero, literature,"1822, Art. I.Primera, y Segunda Parte de Guzman de Alfarache, por Matheo Aleman, Criado del Rey nuestro Senor, Natural, y Vezino de Sevilla. Madrid, 1723. 4to. The Rogue; or, The Life of Guzman de Alfarache. Written in the Spanish by Matheo Aleman, Servant to His Catholic Majestie, and Borne in Sevill. London, printed for Edward Blount, 1623., in The Retrospective Review, volume V, part II, London: Charles Baldwyn,[], OCLC 884714681, pages 189190:A mere piece of roguery told in the abstract, without the proper picaresque ornaments, its manifold sinuosities and dexterities, has no interest for the reader; it may recommend the executor of it to the administration of a cat-o-nine-tails, or to an honourable post in the gallies: but there is no music in it without the proper accompaniments. 1839, Henry Hallam, Section III. On Works of Fiction., in Introduction to the Literature of Europe, in the Fifteenth, Sixteenth, and Seventeenth Centuries, volume II, London: John Murray,[], OCLC 1010696630, paragraph 41, pages 435436:Spain became celebrated about the end of this century for her novels in the picaresque style, of which Lazarillo de Tormes is the oldest extant specimen. 1923, William J[oseph] Long, Eighteenth-century Literature, in Outlines of English Literature:[], Boston, Mass.; New York, N.Y.: Ginn and Company, OCLC 4226121, page 189:He [Daniel Defoe] produced an amazing variety of wares: newspapers, magazines, ghost stories, biographies, journals, memoirs, satires, picaresque romances, essays on religion, reform, trade, projects, in all more than two hundred works. 2009 November 1, Neil McDonald, Scaramouche and the Swashbuckler, in Quadrant[1], volume LIII, number 11 (number 461 overall), Sydney, N.S.W.: Quadrant Magazine Limited, ISSN 0033-5002, OCLC 241426229, archived from the original on 15 April 2018, page 103:Opening in France just before the Revolution and concluding just after the attack on the Tuileries, [Rafael] Sabatini's novel deftly combines historical romance, picaresque novel and revenge tragedy. 2014, Konstantin Mierau; Binne de Haan, Introduction: Bringing together Microhistory and the Picaresque Novel: Studying Menocchio, Guzmn de Alfarache, and Kin, in Binne de Haan and Konstantin Mierau, editors, Microhistory and the Picaresque Novel: A First Exploration into Commensurable Perspectives, Newcastle upon Tyne: Cambridge Scholars Publishing, ISBN, page 2:The picaresque novel finds its origins in the humanist search for an expansion of the historiographical genre. [...] The protagonist of the picaresque novel is the pcaro, a character of lowly descent who, by passing through a wide array of professions, attempts to rise in social standing.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
31508,picaresque,Noun,A picaresque novel, literature,"1850 September, Art. I.History of Spanish Literature. By George Ticknor. 3 vols. 8vo. London, 1849. [book review], in John Taylor Coleridge, editor, The Quarterly Review, volume LXXXVII, number CLXXIV, London: John Murray,[], OCLC 1009026207, page 326:Du sublime au ridicule il n'y a qu'un pas [From the sublime to the ridiculous there is only one step]; and that step in Spain was taken by Diego Hurtado de Mendoza (already dealt with in his higher walk), the originator of the Picaresque, or low rogue's march novels, of which his Lazarillo de Tormes was the type [...] 1856, Louis de Lomnie, chapter XXVII, in Henry S. Edwards, transl., Beaumarchais and His Times. Sketches of French Society in the Eighteenth Century from Unpublished Documents. [...] In Four Volumes, volume IV, international copyright edition, London: Addey and Co.,[], OCLC 645381991, page 121:[T]he word picaro, which is almost synonymous with rogue, [...] has given a name to a whole series of novels in Spain called ""Picaresques,"" the heroes of which are adventurers. 1937, Ford Madox Ford, [Theodore] Drieser, in Portraits From Life:[], Boston, Mass.; New York, N.Y.: Houghton Mifflin Company;[], OCLC 1054401911, page 175:And we had agreed completely as to the main stream in the history of the novel as to its passing from Lope da Vega and the Spanish picaresques, by way of [Danie] Defoe and Richardson, to [Denis] Diderot, Stendahl and [Gustave] Flaubert [...] 1992, Kathryn Zabelle Derounian-Stodola, The New England Frontier and the Picaresque in Sarah Kemble Knights Journal, in Kathryn Zabelle Derounian-Stodola, editor, Early American Literature and Culture: Essays Honoring Harrison T. Meserole, Newark, N.J.: University of Delaware Press; Cranbury, N.J.; London: Associated University Presses, ISBN, pages 122123:In picaresques, the protagonist usually acts as narrator to provide coherence and unity to the genre's inherent structural weaknessits episodic plot.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
43712,poetics,Noun,"The theory of poetry, or of literature in general 1988 October 21, Jonathan Rosenbaum, Bird Watching, in Chicago Reader[1]:Both significantly build on the poetics of death and dissolution that Black and Tan broached so powerfully [] ."," philosophy, literature",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
44200,poioumenon,Noun,A specific type of metafiction in which the story is about the process of creation (sometimes the creation of the story itself), literature,"1991, Alastair Fowler, A History of English Literature The poioumenon has a long prehistory (hardly a tradition), going back through Beckett's trilogy and Carlyle's Sartor Resartus to Sterne's Tristram Shandy; but it is preeminently a postmodernist genre.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
66481,procedural,Noun,"A type of literature, film, or television program involving a sequence of technical detail", literature,"2000, Gary Hausladen, Places for Dead Bodies (page 35) It is only fitting that the investigation of place-based police procedurals begins in America, where the police procedural was invented and turned into a literary art form.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
70534,prose poem,Noun,"A literary text written in the manner of prosewithout the fixed lines, rhyme, and meter often characteristic of poetrybut nonetheless clearly possessing some of the distinctive attributes of poetry, such as lyrical language, evocation of feeling, vivid imagery, metaphor, and linguistic devices like assonance or alliteration", literature,"1839, Henry Wadsworth Longfellow, Hyperion: A Romance, ch. 3: ""He is the author of a very wild Mystery, or dramatic prose-poem, in which the Ocean, Mont-Blanc, and the Cathedral of Strassburg have parts to play."" 1910, O. Henry, ""A Sacrifice Hit"" in Whirligigs: Slayton made ""Love Is All"" the effort of his life. . . . It was a pure love-story, fine, elevated, romantic, passionatea prose poem that set the divine blessing of love (I am transposing from the manuscript) high above all earthly gifts and honours. 1915, John Galsworthy, in Preface to Green Mansions: A Romance of the Tropical Forest (1904) by W. H. Hudson: In form and spirit the book is unique, a simple romantic narrative transmuted by sheer glow of beauty into a prose poem. 2006 May 14, Richard Corliss, ""Get Your Motor Running,"" Time: So if you ask Lasseter about car love, you get an impromptu prose poem. ""Car love,"" he says, ""is the sound of a throaty V-8 rumbling and revving, the acceleration throwing you back in the seatespecially when you get on a beautiful, winding road and the light's dappling through the trees.""",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
74297,pseudogothic,Adjective,"sham-Gothic 1980, Marek Rostworowski, The National Museum in Cracow, the Czartoryski Collection Obviously, the style of romantic pseudogothic architecture was not invented by Isabel - the building at Puawy was preceded by several similar creations abroad and in Poland"," literature, architecture","1997, Jan Bondeson, A Cabinet of Medical Curiosities (page 97) Even a regular reader of the most dreadful pseudogothic periodicals must have felt a frisson of horror. 2004, Harold Bloom, English Romantic Poetry (page 295) The pseudogothic trappings that disfigure the first two cantos of Childe Harold are absent in Childe Harold III and IV, which we may discuss here as a unit even though the last canto was completed two years later in Italy.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1286,Mahjari,Adjective,Of or pertaining to the Mahjar., literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1828,Mantuanesque,Adjective,"Of or relating to a style of pastoral vision with religious overtones of the ""Good Shepherd"", as opposed to the Arcadian pastoral vision of innocent rural bliss.", literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
