Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon
5611,negative,Adjective,"Often preceded by emotion, energy, feeling, or thought: to be avoided, bad, difficult, disagreeable, painful, potentially damaging, unpleasant, unwanted"," New Age jargon, derogatory","2009, Christopher Johns, Becoming a Reflective Practitioner, John Wiley Sons, page 15 Negative feelings can be worked through and their energy converted into positive energy... In crisis, normal patterns of self-organization fail, resulting in anxiety (negative energy). 2011, Joe Vitale, The Key: the missing secret for attracting anything you want, Body, Mind Spirit, [1] The threat of negative feelings may seem very real, but they are nothing more than mirages... Allow the unwanted feelings to evaporate and dissolve as the mirages that they are. 2011, Anne Jones, Healing Negative Energies, Hachette, page 118 If you have been badly affected by negative energy a salt bath is wonderful for clearing and cleansing yourself... Salt attracts negative energy and will draw it away from you.",False,False,False,False,False,False,False,False,False,True
6414,vibe,Noun,"An atmosphere or aura felt to belong to a person, place or thing", originally New Age jargon,[later 20th c.] The couple canceled their night out when they got a bad vibe from the new babysitter.,False,False,False,False,False,False,False,False,False,True
7029,vide,Verb,Divide (ordering the members of a legislative assembly to divide into two groups (the ayes and the nays) for the counting of the members votes)[1]," Parliamentary jargon, imperative",,False,False,False,False,False,False,False,False,False,True
4816,candidate,Verb,"To make or name (something) a candidate (for use, for study as a next project, for investigation as a possible cause of something, etc)"," nonstandard, chiefly in jargon and by non-native speakers","1982, Brian O'Leary, Space industrialization, CRC: Performance comparison of solar energy conversion candidated for SPS. (From NASA, Lyndon B. Johnson Space Center, Houston 1977.) 1989, Institution of Electrical Engineers. Electronics Division, European Conference on Circuit Theory and Design, 5-8 September 1989, Peter Peregrinus Limited (ISBN): In this program if a processor becomes idle, then all feasible activities requiring that kind of processor will be candidated for scheduling. If the number of candidates is more than the number of available processors, activities with higher priority... 2005, Khaled M. Khan, Yan Zhang, Managing Corporate Information Systems Evolution and Maintenance, IGI Global (ISBN), page 308: Evaluate the maintenance costs of the software system in order to candidate it for evolution AA14. Evaluate the hardware platform used and the possibility of migrating the software system toward more economical platforms...",False,False,False,False,False,False,False,False,False,True
22172,checkuser,Noun,"A user who is granted access to view the IP addresses of wiki users, so as to identify sock puppets etc", Wiktionary and WMF jargon,"2006, The New Yorker (volume 82, issues 20-28, page 41) Essjay is serving a second term as chair of the mediation committee. He is also an admin, a bureaucrat, and a checkuser, which means that he is one of fourteen Wikipedians authorized to trace IP addresses in cases of suspected abuse. 2011, Adriana S. Vivacqua, Carl Gutwin, Marcos R.S. Borges, Collaboration and Technology, ISBN:In Wikipedia this kind of activities is performed by members who assume distinct social roles, for instance the quality of the articles is addressed by reviewers and rollbackers, and the users' management is handled by checkusers and account creators. 2014, Dariusz Jemielniak, Common Knowledge?: An Ethnography of Wikipedia (page 34) Checkusers are allowed to check IP addresses of users, usually to confirm or disprove that one person is editing from several accounts. Although formally one does not have to be an administrator to become a checkuser, in practice only some administrators receive these rights.",False,False,False,False,False,False,False,False,False,True
60410,copyvio,Noun,A violation of copyright laws: copyright infringement, Wiki and WMF jargon,"2005 January 3, ""ta bu shi da yu"" (username), ""Re: Wikipedia - Check pages for copied articles"", in misc.transport.road, Usenet: My suggestion is to read http://en.wikipedia.org/wiki/Wikipedia:Copyright_violations to see our mechanism that deals with copyvios. 2005 June 24, TheoClarke (username), in Gun Quarter, Birmingham/Deleted history, Wikipedia, quoted in Deleting: Webster's Quotations, Facts and Phrases, ICON Group International (2008), ISBN, page 44: These are the edits made to this article before the deletion of versions that included copyvio. 2007 February 1, ""cpghost"" (username), ""Re: FreeBSD Torrent Server"", in list.freebsd.questions, Usenet: Despite gazillions of copyvios, there are still valid and legitimate groups there which are not harmed in the least by this. 2009 June 19, Jon Dowland [email removed], new freedoom packages for stable and oldstable to fix copyvio, in linux.debian.devel.release, Usenet[1]:",False,False,False,False,False,False,False,False,False,True
512,CFI,Noun,criteria for inclusion, Wiktionary and WMF jargon,,False,False,False,False,False,False,False,False,False,True
627,CIM,Noun,Indicates that the client ejaculates in their mouth., Internet prostitution jargon,,False,False,False,False,False,False,False,False,False,True
3176,Chinese Wall,Noun,A barrier of silence and secrecy established within an organization in order to cope with confidentiality requirements," idiomatic, jargon","1988. Peat, Marwick, Mitchell Co. v.Superior Court 200, Cal.App.3d 272, 293-294, 245 Cal.Rptr. 873, 887-888: I concur in the opinion of Justice Haning, but write separately to comment on the apparently widespread use of the term ""Chinese Wall"" to describe the type of screening mechanism discussed in this case. While our opinion uses the term ""screen,"" both the parties and the trial court used the term ""Chinese Wall,"" which seems to have become a term of art. I write to express my profound objection to the use of this phrase in this context. 1980. The Chinese Wall Defense to Law Firm Disqualification 128 U.Pa.L.Rev. 677: The enthusiasm for handy phrases of verbal shorthand is understandable. Occasionally, however, lawyers and judges use a term which is singularly inappropriate. ""Chinese Wall"" is one such piece of legal flotsam which should be emphatically abandoned. The term has an ethnic focus which many would consider a subtle form of linguistic discrimination. Certainly, the continued use of the term would be insensitive to the ethnic identity of the many persons of Chinese descent.",False,False,False,False,False,False,False,False,False,True
3667,Christmas tree,Noun,The collection of valves sometimes found at the top of a working oil well, oil industry jargon,"2011, Robert Heidersbach, Metallurgy and Corrosion Control in Oil and Gas Production, ISBN, page 232:Wellheads, which support downhole tubing, casing, and other components, are connected at the top of wells to Christmas trees, which control production rates and fluid flows out of the well and may also direct fluids and equipment into the well",False,False,False,False,False,False,False,False,False,True
