term,definition
bibliology,"The study of biblical literature, or theology."
bibliomics,The study of bibliomes
bibliotics,The study of documents and handwriting in order to verify authorship or authenticity
bioastronautics,"The study of the biological, behavioural and medical aspects of astronautics"
biocoenology,The study of biocoenoses
biocomplexity,"The study of complex structures and behaviours that arise from non-linear interactions of active biological agents, which may range in scale from molecules to cells to organisms."
bioeconomics,The study of the dynamics of living resources using economic models.
bioeconomics,"The study of economic systems, applying the laws of thermodynamics."
bioelectromagnetics,The study of the effects of electromagnetic radiation (normally with the exception of visible light) upon biological systems and organisms.
bioenergetics,The study of the energy transformations that take place in living organisms.
bioethics,The branch of ethics that studies the implications of biological and biomedical advances
biofluidics,The study of biofluids
biogeography,The study of the geographical distribution of living things
biogeology,The study of the interactions between the Earth's biosphere and the lithosphere.
biogeomorphology,The study of the interaction of organisms and land form
biokinetics,The study of movements of or within organisms.
biology,The study of all life or living matter
biomechanics,The branch of biophysics that deals with the mechanics of the human or animal body; especially concerned with muscles and the skeleton.
biomedicine,The branch of medicine that studies the effects of environmental stress on organisms (most often in space travel).
biometeorology,The study of the relationship between atmospheric conditions (the weather) and living organisms.
biomicrofluidics,The study of biological microfluids
biomicrometeorology,The study of small-scale weather systems that have a biological cause (typically caused by large expanses of trees)
biomimetics,The study of the structure and function of living things as models for the creation of materials or products by reverse engineering.
bionomics,The study of an organism and its relation to its environment; ecology.
biopharmaceutics,"The study of the chemical and physical properties of drugs, and the relationship between these, dosage, and activity"
biophotonics,The study of the interaction of individual photons with biological structures
biophysiography,The branch of biology that deals with the natural history of living organisms; descriptive biology.
biorheology,"The study of the deformation and flow of biological materials, especially biological fluids."
biorhythmics,The study of biorhythms.
biorobotics,"The study of biological ""machines"" (such as ribosomes)"
biostatics,The science of the structure and function of organic bodies.
biostratigraphy,The study of the stratigraphic distribution of fossils
biostratinomy,The study of the processes that take place following the death of an organism
biotics,The science of life (all those properties that are peculiar to living organisms)
biotypology,The study of biotypes
bromatology,The study of food.
