Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology
15420,celestial object,Noun,"A natural object which is located outside of Earth's atmosphere, such as the Moon, the Sun, an asteroid, planet, or star"," astronomy, astrology","1999, ""Asteroid Is Called Fastest-Spinning Solar System Object,"" space.com, 22 Jul. (retrieved 9 Jan. 2009): It is only 100 feet across but it now has the honor of being the solar system's fastest-spinning celestial object. 2000, John Raymond Winks Jr., ""Natal zodiac chart,"" US Patent 6,015,295, abstract: A symbol for each desired celestial object, such as for each planet, the sun, and the moon are included along with a method for detachably attaching each of the symbols to the zodiac chart.",False,False,False,False,False,False,False,True
34558,classical planet,Noun,The seven non-fixed astronomical objects in the sky visible to the naked eye that where known in Ancient history," astrology, astronomy",,False,False,False,False,False,False,False,True
46516,combust,Adjective,"In close conjunction with the sun (so that its astrological influence is ""burnt up""), sometimes specified to be within 8 degrees 30'", astrology,"1621, Democritus Junior [pseudonym; Robert Burton], The Anatomy of Melancholy, Oxford: Printed by Iohn Lichfield and Iames Short, for Henry Cripps, OCLC 216894069; The Anatomy of Melancholy:[], 2nd corrected and augmented edition, Oxford: Printed by John Lichfield and James Short, for Henry Cripps, 1624, OCLC 54573970:, I.iii.1.3: Guianerius had a patient could make Latin verses when the moon was combust, otherwise illiterate. 1644, John Milton, Aeropagitica:Who can discern those planets that are oft Combust, and those stars of brightest magnitude that rise and set with the Sun, untill the opposite motion of their orbs bring them to such a place in the firmament, where they may be seen evning or morning.",False,False,False,False,False,False,False,True
54235,conjunction,Noun,An aspect in which planets are in close proximity to one another., astrology,,False,False,False,False,False,False,False,True
54249,conjunctive,Adjective,Relating to a conjunction (appearance in the sky of two astronomical objects with the same right ascension or the same ecliptical longitude).," astrology, astronomy",,False,False,False,False,False,False,False,True
55750,constellation,Noun,"The configuration of planets at a given time (notably of birth), as used for determining a horoscope.", astrology,,False,False,False,False,False,False,False,True
79361,cusp,Noun,A boundary between zodiacal signs and houses., astrology,,False,False,False,False,False,False,False,True
79374,cusper,Noun,"A person born on a day at a junction of star signs 1989 - Liz Greene - Astrology for Lovers And if you were bom on those tricky days which fall between two signs like 23 December, or 21 May then you are called a 'cusper', ...", astrology,,False,False,False,False,False,False,False,True
6692,kite,Noun,A planetary configuration wherein one planet of a grand trine is in opposition to an additional fourth planet, astrology,"1992, Erin Sullivan, Retrograde Planets: Traversing the Inner Landscape (Contemporary Astrology), London: Arkana Publishing, ISBN, pages 144145:Frequently a kite formation is created by one of the planets in the trine by its opposition to another planet, which allows expulsion and redirection of the pent-up energy associated with a closed circuit.",False,False,False,False,False,False,False,True
1738,Cancerian,Adjective,Of or pertaining to the astrological sign of Cancer., astrology,,False,False,False,False,False,False,False,True
1739,Cancerian,Noun,A person born under the astrological sign of Cancer., astrology,,False,False,False,False,False,False,False,True
1911,Capricornian,Adjective,"Of, or pertaining to, the Capricorn star sign.", astrology,,False,False,False,False,False,False,False,True
3405,Chirotic,Adjective,"Pertaining to Chiron, an asteroid-comet Centaur", astrology,,False,False,False,False,False,False,False,True
1101,Taurean,Adjective,"Of, or pertaining to, the star sign Taurus.", astrology,,False,False,False,False,False,False,False,True
1109,Taurine,Adjective,Of or pertaining to the zodiacal sign Taurus, astrology,"1913, Goodsell Observatory of Carleton College, Popular Astronomy[1], volume 21, page 158:Although it would seem that later Hindu Zodiacs began with the Ram also, established perhaps through Greek influence, yet early astromers testify to an ancient order in which Aquarius, on the banks of the Ganges, as in China, marked the Winter Solstice, an arrangement which as we have seen in our study of the ""Yellow Way"", would correspond to the Taurine Era of the Vernal Equinox. 1990, Joyce Wilson, Canadian Book Review Annual[2], page 94:Just as the world recently moved from a ""Taurine Age"" to a ""Piscean Age,"" we are now in that hazy astrological area where the ""Piscean Age"" is ending and an ""Aquarian Age"" is beginning. 1996, Trustees of Boston College, Religion and the Arts: A Journal from Boston College[3], volume 1, page 68:Even within the code of such worship, the choice of a calf, redolent of the former zodiacal Taurine age, is an offensive and retardataire sign in the age of Ares and suggests spiritual and social reaction and cowardice.",False,False,False,False,False,False,False,True
890,Virgoan,Adjective,"Of, or pertaining to, the Virgo star sign.", astrology,,False,False,False,False,False,False,False,True
3853,Aquarian,Adjective,Of or pertaining to the astrological sign of Aquarius., astrology,,False,False,False,False,False,False,False,True
3855,Aquarian,Noun,A person born under the astrological sign of Aquarius., astrology,,False,False,False,False,False,False,False,True
4154,Arietian,Adjective,Of or pertaining to the astrological sign of Aries., astrology,,False,False,False,False,False,False,False,True
4155,Arietian,Noun,A person born under the astrological sign of Aries, astrology,Synonym: Aries,False,False,False,False,False,False,False,True
5854,satellitium,Noun,A grouping of several planets in a sign., astrology,,False,False,False,False,False,False,False,True
6144,saturnal,Adjective,Of or pertaining to the Ancient Roman god Saturn or to the corresponding planetary entity in astrology," mythology, astrology","2004, Mantak Chia and Dirk Oellibrandt, Taoist Astral Healing: Chi Kung Healing Practices Using Star and Planet Energies, ISBN, p. 92: This increased period extends in the trans-Saturnal sphere of Uranus, Neptune and Pluto.",False,False,False,False,False,False,False,True
9095,schematism,Noun,The combination of the heavenly bodies., astrology,,False,False,False,False,False,False,False,True
9118,scheme,Noun,A representation of the aspects of the celestial bodies for any moment or at a given event, astrology,"Sir Walter Scott a blue case, from which was drawn a scheme of nativity",False,False,False,False,False,False,False,True
20955,semiquadrate,Noun,"An aspect of the planets when distant from each other by half a quadrant, or forty-five degrees, or one sign and a half.", astrology,,False,False,False,False,False,False,False,True
20971,semiquartile,Noun,A semiquadrate., astrology,,False,False,False,False,False,False,False,True
20980,semiquintile,Noun,"An aspect of the planets when distant from each other half of the quintile, or thirty-six degrees.", astrology,,False,False,False,False,False,False,False,True
21072,semisextile,Noun,"An aspect of the planets when they are distant from each other the twelfth part of a circle, or thirty degrees", astrology,(Can we find and add a quotation of Hutton to this entry?),False,False,False,False,False,False,False,True
21122,semisquare,Noun,An aspect made by two planets when they are 45 degrees apart from each other., astrology,,False,False,False,False,False,False,False,True
24283,sesquiquadrate,Adjective,Of or noting the aspect or position of any two celestial bodies separated by 135., astrology,,False,False,False,False,False,False,False,True
25739,sextile,Adjective,Of or denoting the aspect or position of any two celestial bodies separated by 60.," astronomy, astrology",,False,False,False,False,False,False,False,True
25742,sextile,Noun,A sextile aspect or position.," astronomy, astrology",,False,False,False,False,False,False,False,True
35208,sidereal astrology,Noun,A form of astrology that measures the position of the sun relative to the stars, astrology,"This compensates for the precession of Earth's axis, which causes the zodiac signs to move around the sky relative to the vernal equinox.",False,False,False,False,False,False,False,True
35877,sign,Noun,An astrological sign, astrology,Your sign is Taurus? That's no surprise.,False,False,False,False,False,False,False,True
36185,significator,Noun,A planet that is supposed to rule something, astrology,In this diagram there was one significator which pressed remarkably upon our astrologer's attention. Sir W. Scott,False,False,False,False,False,False,False,True
60088,spherical,Adjective,"Of or relating to the heavenly orbs, or to the sphere or spheres in which, according to ancient astronomy and astrology, they were set", astrology,"1606: William Shakespeare, King Lear, Act 1, Scene 2 Knaves, thieves, and treachers by spherical predominance.",False,False,False,False,False,False,False,True
66053,square,Noun,The position of planets distant ninety degrees from each other; a quadrate., astrology,,False,False,False,False,False,False,False,True
66083,square,Verb,To hold a quartile position respecting, astrology,(Can we date this quote?) Creech the icy Goat and Crab that square the Scales,False,False,False,False,False,False,False,True
69211,star,Noun,A planet supposed to influence one's destiny, astrology,"What's in the stars for you today? Find out in our horoscope. William Shakespeare O malignant and ill-brooding stars. Joseph Addison Blesses his stars, and thinks it luxury. 1898, Winston Churchill, chapter 5, in The Celebrity:But Miss Thorn relieved the situation by laughing aloud, [] . By the time we reached the house we were thanking our stars she had come.",False,False,False,False,False,False,False,True
69323,star sign,Noun,Any of the twelve astrological signs., astrology,,False,False,False,False,False,False,False,True
90536,super moon,Noun,Alternative form of supermoon, astrology,,False,False,False,False,False,False,False,True
92438,supermoon,Noun,"a full moon or new moon, when the EarthMoon distance is in the lowest tenth of its range 2014 September 7, Natalie Angier, The Moon comes around again [print version: Revisiting a moon that still has secrets to reveal: Supermoon revives interest in its violent origins and hidden face, International New York Times, 10 September 2014, p.8], in The New York Times[2]:And should the moon happen to hit its ever-shifting orbital perigee at the same time that it lies athwart from the sun, we are treated to a so-called supermoon, a full moon that can seem close enough to embrace as much as 12 percent bigger and 30 percent brighter than the average full moon"," astrology, astronomy","[] Some astronomers dislike the whole supermoon hoopla. They point out that the term originated with astrology, not astronomy; that perigee full moons are not all that rare, coming an average of every 13 months; and that their apparently swollen dimensions are often as much a matter of optical illusion and wishful blinking as of relative lunar nearness.",False,False,False,False,False,False,False,True
