Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish
19839,hippity-hop,Adverb,"Unevenly, with a hopping gait", childish,"1857, John Edward Taylor, The Wild Man, in The Fairy Ring: A Collection of Tales and Traditions, Translated from the German of Jacob and Wilhelm Grimm, page 101:So he mounted the horse, which went hippity-hop, hippity-hop. 1938, Elizabeth Baker, Language Journeys with our Friends, page 109:Which show how the tortoise moved? hopped / waddled / scampered / scurried / plodded / ran hippity-hop / took one slow step after another",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19840,hippity-hop,Noun,A hop, childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19841,hippity-hop,Verb,to hop., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
27251,horsy,Noun,A child's term or name for a horse., childish or affectionate,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
29644,huggle,Verb,To hug and snuggle simultaneously: gesture of tender non-sexual affection.," Internet, childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
29647,huggle,Noun,A hug while snuggling: gesture of tender non-sexual affection.," Internet, childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
29655,huggly,Adjective,Tending to huggle; tending to hug and snuggle simultaneously.," Internet, childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
969,earsies,Noun,ears, childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1465,easy peasy,Adjective,"Very easy, simple Now now Benny Wenny, dont cry about it, learning how to add fractions is easy peasy!", childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1466,easy peasy Japanesey,Adjective,Extended form of easy peasy, childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1467,easy peasy lemon squeezy,Adjective,quick and easy, childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4156,eensy,Adjective,Very small, childish,"2011, Kristen Ashley, Rock Chick Regret I was there for a reason and there I had agreed to stay. Blooming heck. What if we want popcorn? We can't eat popcorn in your bed, I told him, sounding maybe an eensy bit desperate.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4157,eensy-weensy,Adjective,Very small; tiny., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4164,eeny-weeny,Adjective,Very small; tiny., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8030,elemeno,Noun,A nonexistent letter of the alphabet which some children think comes between k and p., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8132,elephant,Noun,"used when counting to add length, so that each count takes about one second Let's play hide and seek"," Britain, childish","I'll count. One elephant, two elephant, three elephant...",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
33225,eyewinker,Noun,An eyelash., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5682,papa,Noun,"Dad, daddy, father; a familiar or old-fashioned term of address to ones father.", often childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10981,pasghetti,Noun,"spaghetti 1984 Romeo Muller, Puff and the Incredible Mr"," childish, nonstandard","Nobody, Troll Communications Llc, p14 ""I love pasghetti!"" Terry and Nobody sat by the large kitchen window [...] 1988 Meanjin, Volume 47, The University of Melbourne, p332 'Will you make pasghetti?' / 'Yes, I will.' 1999 Sharon Bryan, ""Lunch with Girl Scouts,"" Real things: an anthology of popular culture in American poetry, Indiana University Press, p258 My hostess and I eat quiche, the girls spaghetti. Pasghetti. They giggle. 1993 Moyra Tarling, Just a Memory Away, Harlequin Books, p76 ""You know pasghetti's my favorite."" Sara flashed Nick a smile as she leaned toward the pumpkin, the felt pen held tightly in her hand. 2002 Vida Adamoli, La bella vita, Summersdale, p31 When I finished she took her thumb out of her mouth and informed me that her name was Claudia and she liked 'pasghetti'. 2006 Katherine Scraper Vicki Scraper, Show Me: Graphic Organizers for Reading Comprehension Across the Curriculum, Good Year Books, p174 ""Pasghetti for supper is good news,"" said Frankie, holding out his plate.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15804,pee-pee,Noun,Urine.," colloquial, usually childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15805,pee-pee,Noun,The penis or vagina; genitalia.," colloquial, usually childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15873,peeksy,Noun,A peek; a quick look, childish,"1971, Christopher Ford, Christopher's craft (page 61) No more looksies or peeksies; he was boiling hot and he didn't care who knew it. 2008, Davis Schneiderman, Dis (page 47) Take a peeksy around this Colossal theatre. You will no doubt notice that most of your comrades, your fellow patrons of the curious, have disappeared. 2009, Barbara Broome Semans, Letitia Broome Schwarz, John Broome and Rebecca Lloyd Vol. II [] Shaun decided to give it a try for the summer; $12.95 an hour ain't bad whatever it is, certainly worth a peeksy.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15930,peenie,Noun,penis," childish, colloquial",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
33237,piggy-wig,Noun,a pig.," Britain, childish or affectionate",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
33248,piggy wiggy,Noun,a pig.," Britain, childish or affectionate",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
37348,pj's,Noun,"pajamas; pyjamas 2016 September 25, Kj DellAntonia, Am I Introverted, or Just Rude?, in New York Times[1]:But a spate of articles and social media posts on the glories of staying home in ones pjs suggests that I am not the only one who went overboard once the introvert label came to imply a deep thinker with a rich inner life rather than a lone gunman."," colloquial, usually childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49088,poo,Noun,Feces," uncountable, childish","1960, Harold Wentworth al., Dictionary of American Slang, p. 401: Poo... feces. 2018 Brent Butt, ""Sasquatch Your Language"", Corner Gas Animated: Wherever legitimate tracks are found there's always some fresh scat, y'know, poo, flop, dumplings.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49089,poo,Noun,A piece of feces or an act of defecation," countable, chiefly Britain, childish","1981 June 22, The Guardian, p. 8: That doggy's doing a poo.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49093,poo,Verb,To defecate," intransitive, childish","1975 July 6, C. James, Observer, p. 23: The dog practically has to poo on his shoe before he can make the pinch.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49094,poo,Verb,To dirty something with feces," transitive, childish","1989 Dec. 11, The Mercury: Most babies I knew then had on introduction either howled or pooed their pants. 2003 March 13, The Sun: We all know what happened to themthey... poohed their pants.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49097,poo-poo,Noun,poo (feces), childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49103,poo poo,Noun,excrement.," Britain, childish, uncountable",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49104,poo poo,Noun,a piece of excrement.," Britain, childish, countable",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49149,pooface,Noun,Term of abuse, childish,"2004, Denis Christopher Flynn, Severe Emotional Disturbance in Children and Adolescents He could talk about racist taunts at school, him being called 'pooface'. 2015, Chloe Blaque, Doing London Is pooface there too?What's a pooface?I said princess, I said, quickly recovering. We have a bad connection.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49167,pooh,Noun,Alternative form of poo: feces," uncountable, childish","1961, Camille Auguste Marie Caseleyr, The Living Come First, page 177: You're rather in the pooh with the Adelaide police. How much do I stink with them?",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49168,pooh,Noun,Alternative form of poo: A piece of feces; an act of defecation.," countable, chiefly Britain, childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49171,pooh,Verb,Alternative form of poo: To defecate or dirty something with feces," intransitive, childish","1989 April 1, Crisis, page 19: My cat poohed in here. 2003 March 13, The Sun: We all know what happened to themthey... poohed their pants.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49183,poohead,Noun,Term of abuse," childish, derogatory","2011, Helen Brown, Parenting For Dummies, UK Edition Friends are becoming an increasing influence. So, if little Johnny at preschool is always shouting, 'Poohead!' chances are your child will treat you to some copycat renditions at home. 2014, Carla Cassidy, Scene of the Crime: Mystic Lake Nah, I just told him he was a poohead, and then we played baseball. 2010, Lerato Mulvaney, Lads Get up, poohead. Now! He gave him a good kick in the ribs. Jordan got up and limped backwards. Get in there and get cleaned up!",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49291,poop one's pants,Verb,to defecate in one's clothes while wearing them.," idiomatic, childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49293,poop out,Verb,"To defecate He pooped out a long, large turd."," childish, transitive",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49319,poophead,Noun,An objectionable person.," childish, derogatory",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
49764,poppa,Noun,"father, papa."," US, colloquial, sometimes childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
54647,potty,Verb,Synonym of go potty," intransitive, childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13638,no-no,Noun,"Something that is forbidden, prohibited, discouraged or taboo"," colloquial, often childish","Smoking indoors is becoming a real no-no these days, in many places.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
29848,num-num,Noun,Tasty food, childish,"2009 June 23, Hale, Bruce, Fat Cat of Underwhere, HarperCollins, ISBN, page 74:She moved off, calling, ""Pussykins? Don't 'oo want some num-nums?""",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
30463,nursie,Noun,"nurse George MacDonald, A Rough Shaking Bravo, Nursie! cried Marway"," childish, mainly as a term of address","There ain't a flunkey of you all could do it better! Clare said nothing, finished the job, and stood up.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
522,caca,Noun,Excrement, childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
21810,"cheater, cheater, pumpkin eater",Noun,Someone who cheats, childish,"2011, Lara Bergen, Sophie the Snoop Archie was a cheater, cheater, pumpkin eater. More proof that he was a thief!",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
24461,chickabiddy,Noun,A chicken or similar bird., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
24721,chicky,Noun,Chicken., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
24722,chicky,Noun,Chick (young bird)., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28276,choo-choo,Noun,The sound made by a steam locomotive., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28277,choo-choo,Noun,A railway locomotive., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28278,choo-choo,Noun,A railway train, childish,(Also called a choo-choo train),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28279,choo-choo train,Noun,A railway train., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28280,choo-choo train,Noun,A spoonful of food (when encouraging a spoon-fed child to eat), childish,Here comes the choo-choo train! Open wide!,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
37942,clotheses,Noun,"Alternative form of clothes 2009 March 19, Cathal Kelly, Journey into Chipper's world, if you dare, in Toronto Star[1]:They are taking off all their clotheses."," nonstandard, childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
53594,confuzzled,Adjective,confused or puzzled., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
53598,confuzzling,Adjective,confusing or puzzling.," neologism, childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
59444,cootie,Noun,"Any germ or contaminant, real or imagined, especially from the opposite gender (for pre-pubescent children)"," Canada, US, colloquial, childish, usually in the plural",Im not drinking from his glass until I wash the cooties off it.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
67699,cowardy custard,Noun,A coward; a timid or fearful person., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
71975,criss-cross applesauce,Adverb,: cross-legged," childish, US, regional, idiomatic;; of sitting",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
80081,cutsies,Noun,The act of cutting in line; queue-jumping., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2221,keepsies,Noun,"The act of keeping something, especially something wagered as part of a game", childish,We'll be playing for keepsies.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6880,kitty,Noun,A pet name for a cat," childish, sometimes capitalized","Aw, look at the kitty! 2007, Pam Johnson-Bennett, Starting from Scratch: How to Correct Behavior Problems in Your Adult Cat Even how a child picks up and handles the cat can make the kitty begin to fear the very sight of the youngster.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6885,kitty-cat,Noun,A domestic cat (subspecies Felis silvestris catus).," colloquial, usually childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8258,scaredy pants,Noun,A coward., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13518,scrummy,Adjective,"delicious 1930, Ralph Hale Mottram, The English Miss Of course one did get some scrummy things to eat abroad, that cook did not, somehow, produce at home; and the people looked different [] 2004, Alan Murphy, Scotland There's an all day menu, with lots of fish dishes such as fish soup, tuna, and monkfish"," childish or colloquial, Britain","Pudding might include a scrummy rosemary panacotta. 2006, Julie Wilson, Our Spanish Winters After mopping up the last bits with my scrummy nan breads we settled down to watch the DVD of ""The Two Towers"" from ""Lord of the Rings"" []",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
27509,sharesies,Noun,The situation where something is shared., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28478,sheepy,Noun,sheep, childish or affectionate,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
30846,sho,Adverb,Pronunciation spelling of so., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
37971,sing-song,Noun,An informal gathering involving group singing," colloquial, often childish","2019, Barney Ronay, Liverpools waves of red fury and recklessness end in joyous bedlam (in The Guardian, 8 May 2019)[1] As Jrgen Klopp took Sadio Man in his arms and spun him like a beloved ballroom partner, there was a moment of sing-song communion with the Kop. They love these big fat emotional notes here.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39173,sissy,Verb,To urinate," childish, colloquial","1979, Rhea Kohan, Save Me a Seat, ISBN, page 25:Joan recognized her as the girl whose son had sissied on her pants. She was still dabbing at her pantleg with a damp paper towel.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40526,sketti,Noun,spaghetti," childish, nonstandard",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
43581,sleepytime,Noun,The time to sleep, childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
56181,sowwy,Adjective,Eye dialect spelling of sorry., childish,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
58258,specialest,Adjective,superlative form of special: most special," colloquial, childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
66737,squiddy,Noun,A squid., childish or affectionate,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
80742,stuffie,Noun,Alternative form of stuffy (stuffed toy)," US, Canada, colloquial, often childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
80777,stuffy,Noun,Synonym of stuffed toy," US, Canada, colloquial, often childish",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
81101,stupid-head,Noun,A stupid person," colloquial, now chiefly childish","2011, Lauren Myracle, Ten:Yes, you, and it was a bumblebee, you stupid-head. Not a wasp. Now go away! My jaw dropped. Stupid-head? Amanda had never called me a stupid-head before. And it was so a wasp, and I saved her from it.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
