Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute
553,tabularized,Verb,simple past tense and past participle of tabularize,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
554,tabularizes,Verb,Third-person singular simple present indicative form of tabularize,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
555,tabularizing,Verb,present participle of tabularize,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
559,tabulate,Verb,To arrange in tabular form; to arrange into a table, transitive,"1700, William Leybourn, Instrumental Arithmetick. The Third Part. Teaching, by a New Artifice (not heretofore Published, to My Knowledge, in any Language.) The Manner how to Set Down any Decimal Fraction Required: [...] by Certain Scales Contrived, Suitable to the Coins, Weights and Measures Now Used in England. And for the Extracting of the Square and Cube Roots. Also, by Nepairs Bones [...], in Arithmetick, Vulgar, Decimal, Instrumental, Algebraical. In Four Parts, 7th edition, London: Printed by J. Matthews, for Awnsham and John Churchill, at the Black-Swan in Pater-Noster-Row, OCLC 1012074788, section II (By Nepairs Bones), subsection IV (How to Apply to Lay Down any Numbers by the Rods), proposition I (Any Number being Given, how to Tabulate or Lay Down the Same by Rods), page 265:Let it be required to Tabulate or lay down this Number 3496. Firt, from among your Sets of Rods (or out of your Cae) take four of them, of which let one of them have the Figure 3 at the top thereof, and lay it upon your Tabellet cloe to the Edge thereof, [] 1872 January, [Official Department. Thirty-eighth annual report.] Report of the President of the Agricultural College, in J. P. Wickersham, editor, The Pennsylvania School Journal: An Educational Magazine, volume XX, number 7, Lancaster, Pa.: Wylie Griest, Inquirer Printing House and Bindery, OCLC 950904134, page 226:It [the School Department] gives advice and instruction concerning their duties to thirteen thousand school directors and controllers, furnishes them blanks, receives and tabulates their reports, reviews their accounts, judges whether they have kept their schools open according to law, and, if so, pays them the State appropriation for their respecive districts. 1903 March 25, G[opal] K[rishna] Gokhale, quoting Edward FitzGerald Law, Budget Speech, 1903, in Speeches of the Honourable Mr. G. K. Gokhale, C.I.E. Non-official Member of the Viceroys Legislative Council: With an Introduction and a Frontispiece, Madras: G[anapathi] A[graharam] Natesan Co., Esplanade, published [1908], OCLC 559375551, page 62:The inevitable deduction from the figures tabulated must be that the material prosperity of the people as a whole is making good progress. 1924 November, William Hulbert Barrow, A General Athletic Ability Test, in James Huff McCurdy, editor, American Physical Education Review, volume XXIX, number 9 (number 201 overall), [Springfield, Mass.: American Physical Education Association], OCLC 1480564, page 506, column 1:In addition to the evident needs mentioned above there is also a desire to standardize and tabulate results. The same desire in other fields has given rise to intelligence tests, psychological examinations, etc. 1974, Allan B. Ellis, Common Conceptions about Computers, in The Use Misuse of Computers in Education, New York, N.Y.: McGraw-Hill Book Company, ISBN, part I (What is a Computer?), page 15:[Herman] Hollerith, a statistician for the United States government, was faced with the task of tabulating the figures of the 1890 census at a time when such tabulating would take more than ten years if done by hand. [] Faced with this prospect, Hollerith conceived the idea of representing the census data as holes on punched cards and of building machines that would sort these cards according to the holes they contained and that would tabulate and otherwise analyze the data.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
560,tabulate,Verb,"To set out as a list; to enumerate, to list", transitive,"1867, Albert Gnther, Reptilia, in Albert C[harles] L[ewis] G[otthilf] Gnther, editor, The Record of Zoological Literature. 1866, volume III, London: John Van Voorst, Paternoster Row, OCLC 6715418, pages 121122:Mr. [Edward Drinker] Cope has examined a collection from the territory of Arizona and in the Colorado district; it contained 44 species. [] He tabulates them according to their range into the neighbouring provinces, and points out that, herpetologically, the Sonoran and Lower Californian provinces are nearly as distinct from each other as the Sonoran is from the Central, [] 1941, R[oberto] Weiss, chapter II, in Humanism in England during the Fifteenth Century, Oxford: Basil Blackwell, OCLC 464753189, page 35:[John] Whethemstede's literary productions show his preference for encyclopedias in which he could tabulate under special headings the limits of his wide reading. 1955, Vladimir Nabokov, chapter 5, in Lolita, Paris: Olympia Press, OCLC 487306850; republished New York, N.Y.: Crest Giant, Fawcett World Library, December 1959, OCLC 970501025, page 19:You have to be an artist and a madman, [] in order to discern at once, by ineffable signsthe slightly feline outline of a cheekbone, the slenderness of a downy limb, and other indices which despair and shame and tears of tenderness forbid me to tabulatethe little deadly demon among the wholesome children; she stands unrecognized by them and unconscious herself of her fantastic power.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
562,tabulate,Verb,To shape with a flat surface., transitive,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
565,tabulated,Verb,simple past tense and past participle of tabulate,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
569,tabulates,Verb,Third-person singular simple present indicative form of tabulate,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
571,tabulating,Verb,present participle of tabulate,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
604,tacet,Verb,An instruction indicating silence on the part of the performers of a piece., music,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
