0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0,abbreviation,abbreviation_for_term,acronym,acronym_for_term,antonym,antonym_for_term,astrology,attribute,attributive_form,attributive_form_for_term,body,childish,colloquial,dated,definition,disease,domain,domain2,euphemistic,field,folklore,humorous,informal,jargon,literary,literature,main_noun_maria,main_noun_nltk,matter,measure,misspelling,misspelling_for_term,mythology,nonstandard,obsolete,offensive,plural,plural_for_term,pos,process,property,rare,role,slang,slur,supplementary_info,synonym,synonym_for_term,term,theology,units,vulgar
family,,,,,,,,,,,,,,,,,,8145,False,,False,,False,,False,False,False,,False,False,False,False,"Any of a family of proteoglycans that ""decorate"" collagen fibres",False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,decorin,False,False,False
group,,,,,,,,,,,,,,,,,,8148,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of protein associated with decorins,False, biochemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,decoron,False,False,False
group,,,,,,,,,,,,,,,,,,8507,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of chromenone (or furocoumarin) glycosides present in Peucedanum decursivum,False, organic chemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,decuroside,False,False,False
family,,,,,,,,,,,,,,,,,,9629,False,,False,,False,,False,False,False,,False,False,False,False,"Any of a family of cysteine-rich proteins that are active against bacteria, fungi and viruses",False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,defensin,False,False,False
family,,,,,,,,,,,,,,,,,,10062,False,,False,,False,,False,False,False,,False,False,False,False,"One of a family of antibiotic chemicals produced by Aspergillus deflectus which contain a 6H-furo[2,3-h]-2-benzopyran-6,8(6aH)-dione core.",False, organic chemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,deflectin,False,False,False
family,,,,,,,,,,,,,,,,,,11123,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of proteins expressed in plants in response to dehydration,False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dehydrin,False,False,False
group,,,,,,,,,,,,,,,,,,11209,False,,False,,False,,False,False,False,,False,False,False,False,Any of a particular group of dipeptidases,False, biochemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dehydropeptidase,False,False,False
group,,,,,,,,,,,,,,,,,,14111,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of diterpenoid macrolides present in some nudibranchs,False, organic chemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dendrillolide,False,False,False
group,,,,,,,,,,,,,,,,,,17134,False,,False,,False,,False,False,False,,False,False,False,False,"Any of a group of peptides, isolated from the skin of some frogs, that have properties that may be useful for drug delivery",False, biochemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dermaseptin,False,False,False
group,,,,,,,,,,,,,,,,,,18534,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of hydrocarbons (4-methyl-24-alkyl-steranes) derived from sterane and associated with the generation of petroleum.,False, organic chemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,desmethylsterane,False,False,False
family,,,,,,,,,,,,,,,,,,18557,False,,False,,False,,False,False,False,,False,False,False,False,"Any of a family of glycoproteins (cadherin), found in desmosomes, responsible for intercellular adhesion.",False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,desmocollin,False,False,False
family,,,,,,,,,,,,,,,,,,18571,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of cadherins involved in the formation of desmosomes.,False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,desmoglein,False,False,False
family,,,,,,,,,,,,,,,,,,18589,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of proteins isolated from desmosomes,False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,desmoplakin,False,False,False
group,,,,,,,,,,,,,,,,,,20480,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of derivatives of protoporphyrins that lack the vinyl side chains,False, organic chemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,deuteroporphyrin,False,False,False
family,,,,,,,,,,,,,,,,,,22757,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of antimicrobial proteins present in several lepidopteran insects,False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,diapausin,False,False,False
group,,,,,,,,,,,,,,,,,,22846,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of flavoprotein enzymes that catalyze the reduction of cytochrome and other similar compounds,False, biochemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,diaphorase,False,False,False
group,,,,,,,,,,,,,,,,,,23076,False,,False,,False,,False,False,False,,False,False,False,False,Any one of a group of enzymes which catalyse the breakdown of starch into maltose; mostly amylase,False, biochemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,diastase,False,False,False
group,,,,,,,,,,,,,,,,,,23100,False,,False,,False,,False,False,False,,False,False,False,False,"Any of a group of isomers of steranes formed during diagenesis 2015 July 15, Sedimentation Pulse in the NE Gulf of Mexico following the 2010 DWH Blowout, in PLOS ONE[1], DOI:10.1371/journal.pone.0132341:Additionally, Mississippi River discharge could not explain the elevated hopane, sterane, and diasterane concentrations [23, 75 ] and depletion in natural abundance radiocarbon [63 ] in NE GoM surface sediments that are indicative of petroleum hydrocarbon input.",False, organic chemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,diasterane,False,False,False
group,,,,,,,,,,,,,,,,,,23321,False,,False,,False,,False,False,False,,False,False,False,False,the functional group -N=N-N,False, chemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,diazoamino,False,False,False
family,,,,,,,,,,,,,,,,,,23362,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of cytotoxic peptides found in marine ascidians of the genus Diazona.,False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,diazonamide,False,False,False
family,,,,,,,,,,,,,,,,,,23999,False,,False,,False,,False,False,False,,False,False,False,False,"Any of a family of glycoproteins that are involved in the development of the embryo 2015 December 22, Efficient Generation of Human Embryonic Stem Cell-Derived Corneal Endothelial Cells by Directed Differentiation, in PLOS ONE[1], DOI:10.1371/journal.pone.0145266:Some of the factors tested included: angiopoietin like protein 7 (ANGLPT7), epidermal growth factor (EGF), fibroblast growth factor 2 (FGF2), transforming growth factor beta 2 (TGF 2), platelet derived growth factor b (PDGFB), and dickkopf related protein 2 (DKK2).",False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dickkopf,False,False,False
family,,,,,,,,,,,,,,,,,,24507,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of polyisoprenoid ketals which are inhibitors of an HIV protease,False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,didemnaketal,False,False,False
